<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
??????-?,14010510,4926.58,5073,4800,5043.88,5403960,27857693120.00,466,4790
??????-?,14010511,5180.73,5181,4887,5024.33,2506540,12874601800.00,333,5044
??????-?,14010512,5024.33,5151,4946,5024.33,1493040,7679064980.00,237,5024
??????-?,14010515,5024.33,5142,4907,5043.88,2457967,12677975990.00,254,5024
??????-?,14010518,4828.83,5132,4829,4946.13,2244239,11354227180.00,231,5044
??????-?,14010519,4887.48,4985,4702,4828.83,2569527,12695180990.00,300,4946
??????-?,14010522,4955.91,5063,4858,4975.46,2123576,10809431347.00,276,4829
??????-?,14010523,4985.23,4985,4848,4895.30,2091575,10474512170.00,241,4975
??????-?,14010524,4897.26,4965,4848,4890.41,2360223,11807027730.00,293,4895
??????-?,14010525,4897.26,4995,4839,4935.38,3897411,19678035341.00,414,4890
??????-?,14010526,4994.03,5231,4985,5151.41,4351891,22934385879.00,632,4935
??????-?,14010529,5405.56,5415,4985,5170.96,4851044,25644434960.00,588,5151
??????-?,14010530,5210.06,5210,4946,5004.78,3402201,17404977200.00,425,5171
??????-?,14010531,5102.53,5278,5005,5092.76,2946825,15356460120.00,341,5005
??????-?,14010601,5170.96,5269,5103,5170.96,1301645,6879366740.00,240,5093
??????-?,14010602,5327.36,5366,5191,5307.81,2554535,13862432650.00,446,5171
??????-?,14010605,5288.26,5523,5278,5376.23,4362515,23990871810.00,497,5308
??????-?,14010606,5434.88,5435,5181,5258.93,2262311,12181076490.00,343,5376
??????-?,14010607,5366.46,5425,5288,5346.91,1690771,9256420890.00,277,5259
??????-?,14010608,5346.91,5376,5239,5278.48,1713582,9255451750.00,263,5347
??????-?,14010609,5405.56,5640,5288,5581.50,11629599,66382326780.00,1166,5278
??????-?,14010612,5659.70,5767,5435,5620.60,5560568,31974182060.00,848,5582
??????-?,14010613,5718.35,5718,5259,5425.11,6406298,35530709050.00,869,5621
??????-?,14010614,5708.58,5797,5523,5757.45,10742964,63227412350.00,1172,5425
??????-?,14010615,5972.50,5973,5650,5767.23,5973529,35267037300.00,909,5757
??????-?,14010616,5718.35,5806,5582,5669.48,3010380,17474301910.00,533,5767
??????-?,14010619,5630.38,5748,5415,5493.53,3698943,20779608670.00,496,5669
??????-?,14010620,5464.21,5816,5425,5689.03,3726417,21671954120.00,514,5494
??????-?,14010621,5669.48,5718,5425,5513.08,2011685,11345720080.00,416,5689
??????-?,14010622,5454.43,5640,5445,5522.86,2101344,11865964930.00,327,5513
??????-?,14010623,5640.15,5640,5445,5513.08,1514451,8540398330.00,235,5523
??????-?,14010627,5601.05,5601,5454,5493.53,1566819,8801311500.00,270,5513
??????-?,14010628,5591.28,5591,5308,5434.88,2258817,12560791290.00,249,5494
??????-?,14010629,5434.88,5523,5298,5346.91,1859433,10178954290.00,208,5435
??????-?,14010630,5376.23,5523,5278,5366.46,1740621,9552712960.00,249,5347
??????-?,14010702,5239.38,5288,4995,5073.21,2709766,14050184230.00,437,5366
??????-?,14010704,4809.28,5415,4809,5249.16,2972867,15953872420.00,403,5073
??????-?,14010706,5464.21,5572,5288,5454.43,1140123,6360947790.00,236,5249
??????-?,14010709,5571.73,5572,5073,5141.63,2376846,12495051220.00,373,5454
??????-?,14010710,5180.73,5181,4887,4965.68,1747289,8867706780.00,257,5142
??????-?,14010711,5053.66,5161,4917,5043.88,1509890,7792227230.00,228,4966
??????-?,14010712,4985.23,5142,4956,5004.78,1115066,5710021700.00,156,5044
??????-?,14010716,4985.23,5093,4887,5014.56,1499132,7691376250.00,226,5005
??????-?,14010717,4936.36,4985,4790,4877.71,1728929,8624655000.00,269,5015
??????-?,14010718,4955.91,5103,4878,4995.01,3721358,19012141740.00,347,4878
??????-?,14010719,5082.98,5337,5083,5327.36,7976175,43493132720.00,528,4995
??????-?,14010720,5630.38,5660,5366,5571.73,7612260,43356881690.00,841,5327
??????-?,14010723,5376.23,5738,5376,5601.05,2850575,16323139450.00,401,5572
??????-?,14010724,5503.31,5992,5474,5933.40,21437428,130189661960.00,1258,5601
??????-?,14010725,6236.43,6344,6188,6324.40,6154473,39812168150.00,410,5933
??????-?,14010726,6764.28,6764,6764,6764.28,4710575,32597179000.00,272,6324
??????-?,14010727,7233.47,7233,7233,7233.47,5098073,37725740200.00,296,6764
??????-?,14010730,7732.00,7732,6794,7292.12,58758028,438600960600.00,5120,7233
??????-?,14010801,6940.23,7233,6784,6813.15,39503453,275508213920.00,3331,7292
??????-?,14010802,6549.23,7282,6500,7145.50,42268257,308806691000.00,3502,6813
??????-?,14010803,7370.32,7644,6794,7204.15,33703976,248378080350.00,3597,7145
??????-?,14010804,7077.07,7253,6706,6764.28,17404839,120430155680.00,1392,7204
??????-?,14010807,6451.48,7038,6295,6471.03,13343232,88305749670.00,1297,6764
??????-?,14010808,6070.25,6158,6021,6040.93,1648602,10189913730.00,269,6471
??????-?,14010809,5874.75,6354,5709,6011.60,11589151,71297596590.00,1559,6041
??????-?,14010810,5923.63,6432,5924,6343.95,13395516,86904361770.00,1345,6012
??????-?,14010811,6598.10,6745,6305,6500.35,9789455,65118822330.00,1295,6344
??????-?,14010814,6686.08,6686,6364,6519.90,7843218,52351459790.00,1023,6500
??????-?,14010815,6353.73,6598,6139,6392.83,8739466,57166558970.00,1244,6520
??????-?,14010816,6451.48,6833,6403,6725.18,9914587,68246822820.00,995,6393
??????-?,14010817,6832.70,7018,6315,6529.68,8434344,56319839270.00,1031,6725
??????-?,14010818,6510.13,6637,6227,6392.83,7761904,50736304060.00,872,6530
??????-?,14010821,6510.13,6833,6403,6617.65,7398459,50114870930.00,812,6393
??????-?,14010822,6627.43,6627,6315,6402.60,4731699,30979645300.00,589,6618
??????-?,14010823,6451.48,6530,6158,6373.28,3216867,20976964320.00,616,6403
??????-?,14010824,6480.80,6530,6217,6353.73,2906526,18891358940.00,481,6373
??????-?,14010825,6353.73,6491,6031,6314.63,4178098,26999690980.00,530,6354
??????-?,14010828,6353.73,6354,5875,5933.40,7410577,44992023710.00,885,6315
??????-?,14010829,5962.73,6158,5865,6031.15,3201237,19747843460.00,449,5933
??????-?,14010830,6148.45,6412,5914,6236.43,6289834,40130684760.00,904,6031
??????-?,14010901,6236.43,6236,5885,5982.28,8687191,53160500900.00,965,6236
??????-?,14010902,5923.63,6060,5875,5952.95,4276594,26045338480.00,654,5982
??????-?,14010905,6040.93,6364,5982,6265.75,12423592,79631050100.00,1209,5953
??????-?,14010906,6392.83,6657,6364,6510.13,6543176,43554722700.00,870,6266
??????-?,14010907,6549.23,6676,6246,6402.60,6749020,44228861790.00,1053,6510
??????-?,14010908,6392.83,6393,6188,6265.75,5024089,32212884980.00,682,6403
??????-?,14010909,6246.20,6530,6236,6383.05,4936555,32247185420.00,707,6266
??????-?,14010912,6226.65,6344,6197,6246.20,2648569,16924771140.00,434,6383
??????-?,14010913,6246.20,6383,6060,6158.23,3782287,23827580880.00,538,6246
??????-?,14010914,6177.78,6305,5933,6060.48,7625246,47250825600.00,870,6158
??????-?,14010915,6060.48,6188,5953,6021.38,5535278,34094548530.00,649,6060
??????-?,14010916,6060.48,6315,5953,6080.03,6381763,39700729960.00,839,6021
??????-?,14010919,6070.25,6148,5894,5972.50,3457776,21137947430.00,502,6080
??????-?,14010920,5972.50,6158,5973,6050.70,1834809,11349659810.00,304,5973
??????-?,14010921,6109.35,6227,6012,6128.90,4055924,25433032650.00,523,6051
??????-?,14010922,6070.25,6305,6060,6207.10,5799098,36834788610.00,675,6129
??????-?,14010923,6255.98,6305,6109,6187.55,3945433,24986739290.00,556,6207
??????-?,14010926,6128.90,6266,6080,6158.23,3863967,24342838460.00,573,6188
??????-?,14010927,6246.20,6549,6168,6412.38,9545043,62628488150.00,1165,6158
??????-?,14010928,6343.95,6647,6334,6471.03,7557509,50053699970.00,880,6412
??????-?,14010929,6480.80,6481,6158,6285.30,3516288,22607184280.00,632,6471
??????-?,14010930,6343.95,6471,6217,6353.73,3255544,21155464500.00,459,6285
??????-?,14011003,6422.15,6588,6334,6471.03,6501435,43055522900.00,823,6354
??????-?,14011004,6598.10,6921,6549,6871.80,10087063,70890995930.00,609,6471
??????-?,14011005,7135.72,7224,6872,7018.42,10813044,77665078880.00,1499,6872
??????-?,14011007,7106.40,7321,7038,7174.82,11075514,81248718740.00,1583,7018
??????-?,14011010,6920.68,7097,6676,6764.28,9721034,67272562660.00,1340,7175
??????-?,14011011,6881.58,6921,6354,6568.78,6594851,44349144750.00,1064,6764
??????-?,14011012,6598.10,6774,6549,6637.20,6937295,47137108960.00,1069,6569
??????-?,14011013,6715.40,6774,6354,6559.00,6031724,40480508390.00,994,6637
??????-?,14011014,6471.03,6471,6246,6304.85,6635328,42796833320.00,1051,6559
??????-?,14011017,6304.85,6588,6305,6510.13,4890087,32588336490.00,841,6305
??????-?,14011018,6519.90,6960,6520,6852.25,10722139,75165542030.00,1407,6510
??????-?,14011019,6959.77,7292,6657,6998.87,11904581,85217251270.00,1495,6852
??????-?,14011020,7311.67,7419,6989,7145.50,9088981,66422118840.00,1355,6999
??????-?,14011021,7125.95,7644,6989,7516.95,26224611,201607435150.00,2605,7145
??????-?,14011024,8025.25,8035,7820,8005.70,20343509,166540317810.00,1949,7517
??????-?,14011025,0,0,0,8005.70,0,0.00,0,8006
??????-?,14011026,8406.47,8563,8035,8308.72,30606446,260118956270.00,3645,8006
??????-?,14011027,8680.17,8778,8406,8533.54,13065838,114001718650.00,1963,8309
??????-?,14011028,8533.54,9091,8143,8817.02,19322131,174256159050.00,2384,8534
??????-?,14011101,9178.69,9267,8602,8924.54,10713446,97807984230.00,2127,8817
??????-?,14011102,8611.74,9159,8358,8817.02,14324085,129173659150.00,2423,8925
??????-?,14011103,8944.09,9188,8309,8777.92,12275469,110195922340.00,2192,8817
??????-?,14011104,8611.74,8700,8260,8426.02,11288109,97337011710.00,2403,8778
??????-?,14011105,8259.85,8446,7840,7888.40,13030578,105128045010.00,2244,8426
??????-?,14011108,7937.27,8113,7341,7692.90,9096834,71632296990.00,1605,7888
??????-?,14011109,7692.90,7722,7155,7194.37,7603061,55925282820.00,936,7693
??????-?,14011110,6715.40,7321,6696,6862.03,10145249,71193137370.00,1336,7194
??????-?,14011111,6842.48,7087,6667,6852.25,6738139,47256070530.00,1098,6862
??????-?,14011112,6940.23,7331,6842,7262.80,9040397,67191236250.00,1216,6852
??????-?,14011116,7448.52,7536,6999,7204.15,6562739,48368518860.00,1024,7263
??????-?,14011117,7008.65,7429,6706,7106.40,11550283,84024752960.00,1662,7204
??????-?,14011118,7204.15,7497,7058,7194.37,4674984,34391695260.00,866,7106
??????-?,14011119,7213.92,7214,6823,6950.00,8475265,60218573910.00,1311,7194
??????-?,14011123,0,0,0,6950.00,0,0.00,0,6950
??????-?,14011124,0,0,0,6950.00,0,0.00,0,6950
??????-?,14011125,0,0,0,6950.00,0,0.00,0,6950
??????-?,14011126,6940.00,7000,6720,6820.00,1498502,10213085670.00,386,6950
??????-?,14011130,7240.00,7240,6850,7050.00,3007880,21216801860.00,491,6820
??????-?,14011201,7200.00,7540,6930,7470.00,5100788,38128067420.00,683,7050
??????-?,14011202,7870.00,7870,7320,7620.00,4824003,36742352730.00,779,7470
??????-?,14011203,7370.00,7530,7190,7340.00,3522921,25861719670.00,506,7620
??????-?,14011206,7410.00,7850,7410,7820.00,7063630,55219242190.00,921,7340
??????-?,14011207,8150.00,8310,7510,7850.00,6248107,49064444050.00,979,7820
??????-?,14011208,7800.00,7880,7410,7710.00,4388561,33845292100.00,722,7850
??????-?,14011209,7600.00,7810,7420,7630.00,5108787,38970534520.00,844,7710
??????-?,14011210,7690.00,8160,7500,7880.00,8280245,65229376360.00,1258,7630
??????-?,14011213,7680.00,8150,7680,7980.00,4728424,37726312690.00,787,7880
??????-?,14011214,7980.00,8190,7980,8110.00,4103226,33280855860.00,843,7980
??????-?,14011215,8100.00,8180,7810,8050.00,3205568,25789691940.00,719,8110
??????-?,14011216,8180.00,8200,7700,8050.00,4993848,40175704770.00,939,8050
??????-?,14011220,8080.00,8340,7850,8100.00,4395775,35625571650.00,1030,8050
??????-?,14011221,7910.00,7910,7550,7690.00,4733867,36400775820.00,1050,8100
??????-?,14011222,7890.00,7890,7560,7780.00,2449551,19052300410.00,571,7690
??????-?,14011223,7850.00,7940,7680,7800.00,3389870,26445417830.00,787,7780
??????-?,14011224,7900.00,7990,7770,7880.00,4648454,36620381500.00,847,7800
??????-?,14011227,8120.00,8200,8010,8120.00,3733955,30314918880.00,728,7880
??????-?,14011228,8050.00,8380,7900,8080.00,5422387,43803779950.00,1024,8120
??????-?,14020105,8400.00,8400,8130,8270.00,4476838,37013728010.00,732,8080
??????-?,14020106,8300.00,8300,7840,7930.00,409365,3244932960.00,120,8270
??????-?,14020107,7950.00,8480,7930,8380.00,7198677,60314607300.00,1044,7930
??????-?,14020108,8700.00,8700,8270,8430.00,5504791,46393752700.00,971,8380
??????-?,14020109,8300.00,8850,8220,8610.00,5540975,47712684450.00,919,8430
??????-?,14020114,8560.00,9000,8310,8670.00,6023378,52197193300.00,1089,8610
??????-?,14020115,8960.00,9270,8830,9230.00,16293648,150428816790.00,2246,8670
??????-?,14020116,9270.00,9870,9270,9840.00,25925721,255208815430.00,2433,9230
??????-?,14020119,9880.00,10400,9610,10040.00,14721220,147766786860.00,2486,9840
??????-?,14020120,9980.00,10390,9700,10100.00,12738473,128631719870.00,2017,10040
??????-?,14020121,10240.00,10390,9400,9800.00,12384967,121344215260.00,2151,10100
??????-?,14020122,9280.00,10150,9280,9970.00,7126644,71058131150.00,1525,9800
??????-?,14020126,10170.00,10550,10170,10340.00,7196161,74435471830.00,1418,9970
??????-?,14020127,10600.00,11060,10030,10730.00,18779553,201535600350.00,2804,10340
??????-?,14020128,11480.00,11480,11060,11430.00,8192609,93646131900.00,1153,10730
??????-?,14020129,12200.00,12230,11700,12140.00,13111348,159224423530.00,2269,11430
??????-?,14020130,0.00,0,0,12140.00,0,0.00,0,12140
??????-?,14020204,12500.00,12790,11770,12290.00,5186405,63718429650.00,1107,12140
??????-?,14020205,12200.00,12740,11550,12130.00,14863359,180311340960.00,3080,12290
??????-?,14020206,12120.00,12920,11660,12410.00,10693007,132744583000.00,2122,12130
??????-?,14020209,12900.00,12960,12300,12630.00,7024740,88709520540.00,1243,12410
??????-?,14020210,12600.00,13420,12300,12960.00,5290197,68556292310.00,1228,12630
??????-?,14020211,13500.00,13500,12450,12830.00,7738369,99321725130.00,1602,12960
??????-?,14020212,13230.00,13240,12860,13030.00,9297818,121154170080.00,1571,12830
??????-?,14020213,13250.00,13940,13250,13830.00,8559927,118402684590.00,1370,13030
??????-?,14020216,14770.00,14770,13950,14430.00,6119721,88324065220.00,1491,13830
??????-?,14020217,14540.00,14700,13420,13490.00,3559744,48015010660.00,637,14430
??????-?,14020218,12550.00,12550,12550,12550.00,1688521,21190938550.00,305,13490
??????-?,14020219,11680.00,12300,11680,11750.00,18230816,214278705760.00,2759,12550
??????-?,14020220,10930.00,10930,10930,10930.00,4273158,46705616940.00,473,11750
??????-?,14020223,10170.00,10710,10170,10200.00,4215864,42996155430.00,851,10930
??????-?,14020224,9620.00,10910,9620,10530.00,12137205,127775330080.00,1643,10200
??????-?,14020225,11260.00,11260,10530,11080.00,7319652,81099141960.00,1175,10530
??????-?,14020227,11700.00,11780,11100,11360.00,6257159,71060843760.00,1134,11080
??????-?,14020230,11750.00,11940,11020,11470.00,6714415,77025277210.00,1318,11360
??????-?,14020231,11260.00,11650,11000,11270.00,3605555,40646664550.00,865,11470
??????-?,14020301,11570.00,11950,11320,11640.00,2968847,34556207810.00,735,11270
??????-?,14020302,11980.00,12300,11700,11930.00,3559072,42463736110.00,771,11640
??????-?,14020303,11980.00,12300,11500,11900.00,3650886,43442448150.00,838,11930
??????-?,14020306,11850.00,11850,11070,11310.00,5564589,62911634240.00,1260,11900
??????-?,14020307,11020.00,11350,10520,10590.00,5816991,61588083890.00,1090,11310
??????-?,14020308,10550.00,11290,10550,10930.00,3431042,37517245240.00,600,10590
??????-?,14020309,11240.00,11240,10790,10910.00,5000662,54563379250.00,783,10930
??????-?,14020310,10980.00,10980,10150,10360.00,4799137,49717693390.00,933,10910
??????-?,14020313,10220.00,10540,9950,10360.00,2719309,28167474890.00,621,10360
??????-?,14020316,10350.00,11080,10070,10970.00,5172898,56751281380.00,964,10360
??????-?,14020317,11160.00,11650,11100,11340.00,4282735,48552171400.00,872,10970
??????-?,14020320,11350.00,11350,10550,10620.00,7910312,84005125120.00,1102,11340
??????-?,14020321,10060.00,11340,10060,10870.00,3412664,37084777260.00,885,10620
??????-?,14020322,10550.00,11130,10110,10370.00,5248160,54401337070.00,919,10870
??????-?,14020323,9760.00,10900,9760,10470.00,2318168,24261261580.00,520,10370
??????-?,14020324,10240.00,10900,10240,10620.00,1788083,18988163320.00,401,10470
??????-?,14020327,10670.00,11100,10390,10630.00,3038428,32288987890.00,523,10620
??????-?,14020328,10630.00,11080,9890,10590.00,4635241,49095993070.00,1013,10630
??????-?,14020329,11060.00,11330,10710,11280.00,8610897,97122994140.00,1142,10590
??????-?,14020330,11470.00,11470,10920,11190.00,3589212,40145399910.00,903,11280
??????-?,14020331,11500.00,11500,11150,11290.00,2771912,31289853210.00,834,11190
??????-?,14020403,11120.00,11580,11120,11390.00,2968405,33804587230.00,737,11290
??????-?,14020404,11390.00,12050,11380,11740.00,3643369,42760007270.00,960,11390
??????-?,14020405,11990.00,12340,11730,12110.00,3719378,45047328300.00,793,11740
??????-?,14020406,12500.00,12500,11660,12050.00,4521578,54492394920.00,1041,12110
??????-?,14020407,11930.00,12400,11630,12080.00,1837801,22198653760.00,522,12050
??????-?,14020410,11790.00,12170,11350,11630.00,3207485,37303328630.00,1007,12080
??????-?,14020411,11300.00,11900,11250,11650.00,1857472,21642946860.00,608,11630
??????-?,14020412,11720.00,11720,11240,11500.00,3153606,36274780890.00,820,11650
??????-?,14020413,11480.00,12020,11100,11610.00,3343939,38836374320.00,875,11500
??????-?,14020414,11640.00,12300,11640,11900.00,3139532,37371394670.00,775,11610
??????-?,14020417,11860.00,12270,11800,11950.00,2404490,28738336410.00,676,11900
??????-?,14020418,11810.00,12240,11800,11990.00,3046799,36536166630.00,676,11950
??????-?,14020419,12000.00,12100,11500,11770.00,2496810,29386485930.00,718,11990
??????-?,14020420,11740.00,12100,11350,11710.00,5207851,60998081390.00,1129,11770
??????-?,14020421,11600.00,12000,11040,11310.00,2348281,26557826370.00,672,11710
??????-?,14020424,11020.00,11680,10980,11280.00,2568854,28970637570.00,491,11310
??????-?,14020425,11200.00,11500,10500,10680.00,3690438,39428789960.00,709,11280
??????-?,14020426,9940.00,10350,9940,9950.00,4403827,43808784750.00,683,10680
??????-?,14020427,9960.00,10630,9960,10460.00,3070004,32097236760.00,508,9950
??????-?,14020428,10440.00,11150,10390,10740.00,3062071,32873759730.00,628,10460
??????-?,14020431,9990.00,10670,9990,10010.00,3888807,38930630680.00,765,10740
??????-?,14020501,9410.00,9970,9410,9780.00,2259364,22085539640.00,541,10010
??????-?,14020502,9450.00,10220,9450,9960.00,1878893,18720396510.00,430,9780
??????-?,14020503,10240.00,10240,9690,9900.00,1594691,15779855360.00,411,9960
??????-?,14020504,9900.00,10170,9700,9970.00,1776139,17701695800.00,279,9900
??????-?,14020507,9730.00,10200,9720,9880.00,1002344,9901267070.00,301,9970
??????-?,14020508,10000.00,10000,9190,9230.00,5391791,49792622100.00,847,9880
??????-?,14020509,9000.00,9430,9000,9250.00,1657421,15338603490.00,397,9230
??????-?,14020510,9370.00,9420.00,9200.00,9320.00,1471674,13709199620.00,347,9250.00
